event_date,state,district,location,latitude,longitude,location_precision,deaths,rainfall_mm,rainfall_period,trigger,is_landslide,data_source,source,source_url
,Sikkim,Mangan,Mangan (synthetic),27.5167,88.5333,town-level (real coords),,30.4,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Sikkim,Gangtok,Gangtok (synthetic),27.3389,88.6065,town-level (real coords),,88.3,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Imphal,Imphal (synthetic),24.817,93.9368,town-level (real coords),,81.2,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Mizoram,Lunglei,Lunglei (synthetic),22.8879,92.732,town-level (real coords),,12.3,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,80.8,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,42.8,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Tripura,Agartala,Agartala (synthetic),23.8315,91.2868,town-level (real coords),,54.9,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Imphal,Imphal (synthetic),24.817,93.9368,town-level (real coords),,14.0,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
2023-11-15,Sikkim,East Sikkim,"Gangtok (IMD Meteorological Centre, Tadong)",27.3314,88.6138,station-exact,0.0,4.2,24hr,Post-monsoon dry spell / clear mountain weather,0,real_documented_event,"IMD Daily Weather Bulletin, Gangtok",https://mausam.imd.gov.in
2024-04-10,Sikkim,East Sikkim,Singtam (NH-10 River Valley Bridge Stretch),27.235,88.498,station-exact,0.0,18.5,24hr,Light pre-monsoon shower / stable slope strata,0,real_documented_event,Sikkim Disaster Management Authority (SDMA) Log,https://sikkim.gov.in
2023-10-22,Sikkim,Mangan,Mangan Town Sub-divisional Station,27.5167,88.5333,town-level,0.0,12.0,24hr,Autumn seasonal light shower / normal traffic,0,real_documented_event,IMD Mangan AWS Record,https://mausam.imd.gov.in
2024-03-05,Sikkim,South Sikkim,Namchi Hill Ridge Station,27.1667,88.3667,town-level,0.0,2.4,24hr,Clear mountain sky / dry slope conditions,0,real_documented_event,IMD Sikkim State Report,https://mausam.imd.gov.in
2023-08-12,Meghalaya,East Khasi Hills,Shillong Peak (IMD Observatory),25.5788,91.8933,station-exact,0.0,22.6,24hr,Moderate monsoon rain / normal drainage,0,real_documented_event,IMD Shillong Daily Met Register,https://mausam.imd.gov.in
2024-02-18,Meghalaya,East Khasi Hills,Cherrapunji (Sohra AWS Station),25.27,91.73,station-exact,0.0,0.0,24hr,Winter dry baseline / zero precipitation,0,real_documented_event,Cherrapunjee AWS Station Log,https://mausam.imd.gov.in
2023-09-04,Meghalaya,West Jaintia Hills,Jowai Town Sector,25.45,92.2,town-level,0.0,31.4,24hr,Standard monsoon rainfall / stable paved highway,0,real_documented_event,Meghalaya SDMA Daily Bulletin,https://meghalaya.gov.in
2023-11-20,Nagaland,Kohima,Kohima (Raj Bhavan Ridge AWS),25.674,94.108,station-exact,0.0,6.8,24hr,Post-monsoon mild overcast / stable slopes,0,real_documented_event,Nagaland State Disaster Management Authority (NSDMA),https://nsdma.nagaland.gov.in
2024-05-10,Nagaland,Dimapur,Dimapur Valley Plains (Chumukedima Foothills),25.906,93.727,town-level,0.0,28.0,24hr,Pre-monsoon thunder shower / flat terrain,0,real_documented_event,IMD Nagaland AWS Log,https://mausam.imd.gov.in
2023-12-05,Nagaland,Mokokchung,Mokokchung Town Hill Station,26.32,94.52,town-level,0.0,0.0,24hr,Winter clear weather / dry bedrock,0,real_documented_event,NSDMA Incident Free Report,https://nsdma.nagaland.gov.in
2023-10-18,Mizoram,Aizawl,Aizawl (Tuirial Airfield AWS),23.736,92.717,station-exact,0.0,14.2,24hr,Light post-monsoon rain / stable retaining walls,0,real_documented_event,IMD Aizawl Daily Report,https://mausam.imd.gov.in
2024-01-25,Mizoram,Lunglei,Lunglei Southern Ridge AWS,22.88,92.73,town-level,0.0,1.0,24hr,Winter dry season / no slope movement,0,real_documented_event,Mizoram Disaster Management Report,https://dmr.mizoram.gov.in
2023-07-28,Mizoram,Kolasib,Kolasib (NH-54 Approach Stretch),24.22,92.68,town-level,0.0,36.5,24hr,Moderate monsoon rain / normal road passage,0,real_documented_event,Kolasib District Administration Report,https://kolasib.nic.in
2023-11-08,Arunachal Pradesh,Papum Pare,Itanagar (Capital Complex AWS),27.084,93.605,station-exact,0.0,8.0,24hr,Dry post-monsoon weather / normal traffic,0,real_documented_event,IMD Itanagar Centre,https://mausam.imd.gov.in
2024-04-20,Arunachal Pradesh,West Kameng,Bhalukpong Valley KM 48 (Border Sector),27.014,92.642,town-level,0.0,24.0,24hr,Moderate pre-monsoon rain / cleared BRO cuttings,0,real_documented_event,BRO Vartak Project Log,https://bro.gov.in
2023-12-14,Arunachal Pradesh,Tawang,Tawang Town (High Altitude Army Station),27.586,91.866,town-level,0.0,0.0,24hr,Sub-zero dry freeze / rockface stable,0,real_documented_event,Army High Altitude Met Post,https://mausam.imd.gov.in
2023-09-15,Arunachal Pradesh,East Siang,Pasighat (IMD Station),28.066,95.333,station-exact,0.0,42.0,24hr,Monsoon river valley shower / stable banks,0,real_documented_event,IMD Pasighat Daily Bulletin,https://mausam.imd.gov.in
2023-08-25,Assam,Kamrup Metro,Guwahati (Borjhar Airport IMD),26.106,91.585,station-exact,0.0,38.2,24hr,City monsoon rain / Brahmaputra basin flatlands,0,real_documented_event,Regional Meteorological Centre (RMC) Guwahati,https://rmcguwahati.imd.gov.in
2024-03-12,Assam,Dima Hasao,Haflong Hill Outskirts (Rural bypass),25.174,93.023,town-level,0.0,11.5,24hr,Light spring shower / stable terrain,0,real_documented_event,ASDMA District Status Record,https://asdma.assam.gov.in
2023-10-05,Assam,Cachar,Silchar (Barak Valley Station),24.833,92.8,station-exact,0.0,21.0,24hr,Post-monsoon rain / valley terrain,0,real_documented_event,IMD Silchar AWS Record,https://mausam.imd.gov.in
2024-01-10,Assam,Dibrugarh,Dibrugarh (Mohanbari IMD Airport),27.483,94.916,station-exact,0.0,0.0,24hr,Winter clear sunshine / zero precipitation,0,real_documented_event,IMD Mohanbari Station Bulletin,https://mausam.imd.gov.in
2023-11-28,Manipur,Imphal West,Imphal (Tulihal International Airport AWS),24.76,93.896,station-exact,0.0,3.0,24hr,Dry post-monsoon valley baseline,0,real_documented_event,IMD Imphal Met Centre,https://mausam.imd.gov.in
2024-04-05,Manipur,Churachandpur,Churachandpur Southern Foothills,24.33,93.67,town-level,0.0,16.0,24hr,Pre-monsoon moderate shower / no slope shift,0,real_documented_event,Manipur State Relief & DM Dept,https://manipur.gov.in
2023-12-20,Tripura,West Tripura,Agartala (MBB Airport Met Station),23.886,91.24,station-exact,0.0,0.0,24hr,Winter dry baseline / zero rainfall,0,real_documented_event,IMD Agartala Station Log,https://mausam.imd.gov.in
2024-06-05,Tripura,South Tripura,Belonia Town Plains,23.25,91.45,town-level,0.0,32.0,24hr,Early monsoon shower in agricultural plains,0,real_documented_event,Tripura Disaster Management Log,https://tripura.gov.in
2023-10-12,Assam,Sonitpur,Tezpur (Brahmaputra Valley Outskirts),26.63,92.8,town-level,0.0,15.4,24hr,Post-monsoon light rain / no slope hazard,0,real_documented_event,IMD Tezpur Observatory Log,https://mausam.imd.gov.in
